"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","763.47","763.49","771.17","762.90","456.16K","0.85%"
"05/02/2024","757.00","758.63","760.95","748.78","632.28K","0.73%"
"05/01/2024","751.50","757.67","765.81","751.18","529.74K","-0.40%"
"04/30/2024","754.52","759.20","761.45","753.90","278.34K","-0.89%"
"04/29/2024","761.28","764.58","769.40","755.92","483.71K","-0.31%"
"04/26/2024","763.63","761.00","767.48","757.75","377.41K","0.84%"
"04/25/2024","757.29","753.50","760.19","748.02","437.67K","-0.68%"
"04/24/2024","762.45","763.67","767.64","759.43","509.29K","-0.48%"
"04/23/2024","766.09","764.47","769.42","760.94","350.43K","0.79%"
"04/22/2024","760.11","759.93","766.19","750.60","594.47K","1.39%"
"04/19/2024","749.66","750.25","755.43","745.55","677.13K","0.35%"
"04/18/2024","747.05","754.91","761.42","746.92","533.42K","-0.90%"
"04/17/2024","753.82","752.50","758.90","748.32","510.36K","0.59%"
"04/16/2024","749.38","763.45","766.85","749.10","571.89K","-1.75%"
"04/15/2024","762.73","772.58","778.15","756.59","833.50K","0.03%"
"04/12/2024","762.51","784.40","802.33","762.14","1.28M","-2.88%"
"04/11/2024","785.11","785.99","789.32","778.97","675.62K","0.19%"
"04/10/2024","783.65","792.00","795.12","781.08","653.23K","-2.52%"
"04/09/2024","803.90","805.35","805.87","794.18","798.44K","0.08%"
"04/08/2024","803.27","804.98","807.54","797.65","632.77K","0.72%"
"04/05/2024","797.56","790.12","804.27","790.12","685.04K","0.69%"
"04/04/2024","792.09","823.53","825.79","790.24","1.19M","-2.79%"
"04/03/2024","814.80","815.45","826.08","813.56","364.88K","-0.22%"
"04/02/2024","816.59","822.88","822.88","810.01","497.09K","-1.23%"
"04/01/2024","826.77","834.98","834.98","825.24","393.13K","-0.83%"
"03/28/2024","833.70","837.58","838.68","831.49","532.20K","-0.17%"
"03/27/2024","835.12","825.57","835.17","822.70","466.53K","1.82%"
"03/26/2024","820.20","819.53","823.88","817.93","374.02K","0.49%"
"03/25/2024","816.21","821.31","826.31","815.20","378.11K","-1.03%"
"03/22/2024","824.74","840.73","842.32","822.46","453.30K","-2.06%"
"03/21/2024","842.10","822.24","844.64","822.24","514.86K","2.96%"
"03/20/2024","817.89","804.11","819.24","800.68","442.22K","1.94%"
"03/19/2024","802.30","796.31","803.87","792.82","582.99K","0.26%"
"03/18/2024","800.25","806.20","806.27","793.83","627.86K","-0.28%"
"03/15/2024","802.52","801.59","813.80","798.34","1.56M","-0.78%"
"03/14/2024","808.80","825.00","825.29","800.62","851.64K","-2.08%"
"03/13/2024","825.99","829.17","831.61","823.21","489.63K","-0.43%"
